Bitstring,Cost
"(0, 1, 0, 1, 1, 0, 0, 0, 0)",-108.0
"(0, 1, 1, 1, 0, 0, 0, 1, 0)",-106.0
"(1, 1, 0, 1, 0, 0, 1, 0, 0)",-94.0
"(0, 1, 1, 0, 1, 0, 0, 0, 0)",-93.0
"(1, 1, 1, 0, 0, 0, 1, 0, 0)",-79.0
"(0, 0, 0, 1, 1, 1, 0, 0, 0)",-79.0
"(0, 0, 1, 1, 0, 1, 0, 1, 0)",-77.0
"(0, 1, 0, 1, 0, 0, 1, 0, 1)",-75.0
"(1, 0, 0, 1, 0, 1, 1, 0, 0)",-65.0
"(0, 0, 1, 0, 1, 1, 0, 0, 0)",-64.0
"(0, 1, 0, 0, 1, 0, 0, 1, 0)",-62.0
"(0, 1, 1, 0, 0, 0, 1, 0, 1)",-60.0
"(1, 0, 1, 0, 0, 1, 1, 0, 0)",-50.0
"(1, 1, 0, 0, 0, 0, 0, 0, 1)",-48.0
"(1, 1, 0, 0, 0, 0, 1, 1, 0)",-48.0
"(0, 0, 0, 1, 0, 1, 1, 0, 1)",-46.0
"(0, 0, 0, 0, 1, 1, 0, 1, 0)",-33.0
"(0, 0, 1, 0, 0, 1, 1, 0, 1)",-31.0
"(0, 1, 0, 0, 0, 0, 1, 1, 1)",-29.0
"(1, 0, 0, 0, 0, 1, 1, 1, 0)",-19.0
"(1, 0, 0, 0, 0, 1, 0, 0, 1)",-19.0
"(0, 0, 0, 0, 0, 1, 1, 1, 1)",0.0
"(0, 1, 0, 1, 1, 1, 0, 0, 0)",51.0
"(0, 1, 1, 1, 0, 1, 1, 0, 0)",53.0
"(0, 1, 1, 1, 0, 1, 0, 1, 0)",53.0
"(1, 0, 1, 1, 0, 0, 0, 0, 0)",63.0
"(1, 1, 0, 1, 0, 1, 1, 0, 0)",65.0
"(1, 1, 0, 1, 0, 1, 0, 0, 0)",65.0
"(0, 1, 1, 0, 1, 1, 0, 0, 0)",66.0
"(1, 1, 1, 0, 0, 1, 0, 0, 0)",80.0
"(1, 1, 1, 0, 0, 1, 1, 0, 0)",80.0
"(0, 0, 0, 1, 1, 0, 0, 0, 0)",80.0
"(0, 0, 0, 1, 1, 0, 1, 0, 0)",80.0
"(0, 0, 1, 1, 0, 0, 0, 1, 0)",82.0
"(0, 0, 1, 1, 0, 0, 0, 0, 1)",82.0
"(0, 0, 1, 1, 0, 0, 1, 1, 0)",82.0
"(0, 1, 0, 1, 0, 1, 0, 0, 1)",84.0
"(0, 1, 0, 1, 0, 1, 1, 0, 1)",84.0
"(0, 1, 0, 1, 0, 1, 1, 1, 0)",84.0
"(1, 0, 0, 1, 0, 0, 1, 0, 0)",94.0
"(1, 0, 0, 1, 0, 0, 0, 1, 0)",94.0
"(0, 0, 1, 0, 1, 0, 0, 0, 0)",95.0
"(0, 0, 1, 0, 1, 0, 1, 0, 0)",95.0
"(0, 1, 0, 0, 1, 1, 0, 1, 0)",97.0
"(0, 1, 0, 0, 1, 1, 1, 0, 0)",97.0
"(0, 1, 1, 0, 0, 1, 0, 0, 1)",99.0
"(0, 1, 1, 0, 0, 1, 1, 1, 0)",99.0
"(0, 1, 1, 0, 0, 1, 1, 0, 1)",99.0
"(1, 0, 0, 0, 1, 0, 0, 0, 0)",107.0
"(1, 0, 1, 0, 0, 0, 1, 0, 0)",109.0
"(1, 0, 1, 0, 0, 0, 0, 1, 0)",109.0
"(1, 1, 0, 0, 0, 1, 0, 0, 1)",111.0
"(1, 1, 0, 0, 0, 1, 0, 1, 0)",111.0
"(1, 1, 0, 0, 0, 1, 1, 1, 0)",111.0
"(0, 0, 0, 1, 0, 0, 0, 1, 1)",113.0
"(0, 0, 0, 1, 0, 0, 1, 0, 1)",113.0
"(0, 0, 0, 0, 1, 0, 0, 0, 1)",126.0
"(0, 0, 0, 0, 1, 0, 0, 1, 0)",126.0
"(0, 0, 0, 0, 1, 0, 1, 1, 0)",126.0
"(0, 0, 1, 0, 0, 0, 0, 1, 1)",128.0
"(0, 0, 1, 0, 0, 0, 1, 0, 1)",128.0
"(0, 1, 0, 0, 0, 1, 1, 1, 1)",130.0
"(0, 1, 0, 0, 0, 1, 0, 1, 1)",130.0
"(1, 0, 0, 0, 0, 0, 1, 0, 1)",140.0
"(1, 0, 0, 0, 0, 0, 0, 0, 1)",140.0
"(1, 0, 0, 0, 0, 0, 1, 1, 0)",140.0
"(0, 0, 0, 0, 0, 0, 1, 1, 1)",159.0
"(1, 1, 1, 1, 0, 0, 0, 0, 0)",511.0
"(0, 1, 0, 1, 1, 0, 1, 0, 0)",528.0
"(0, 1, 1, 1, 0, 0, 1, 1, 0)",530.0
"(0, 1, 1, 1, 0, 0, 1, 0, 0)",530.0
"(0, 1, 1, 1, 0, 0, 0, 0, 1)",530.0
"(1, 0, 1, 1, 0, 1, 0, 0, 0)",540.0
"(1, 1, 0, 1, 0, 0, 0, 1, 0)",542.0
"(1, 1, 0, 1, 0, 0, 0, 0, 0)",542.0
"(0, 1, 1, 0, 1, 0, 1, 0, 0)",543.0
"(1, 1, 0, 0, 1, 0, 0, 0, 0)",555.0
"(1, 1, 1, 0, 0, 0, 0, 1, 0)",557.0
"(1, 1, 1, 0, 0, 0, 0, 0, 0)",557.0
"(0, 0, 0, 1, 1, 1, 1, 0, 0)",557.0
"(0, 0, 1, 1, 0, 1, 1, 0, 0)",559.0
"(0, 0, 1, 1, 0, 1, 0, 0, 1)",559.0
"(0, 0, 1, 1, 0, 1, 1, 1, 0)",559.0
"(0, 1, 0, 1, 0, 0, 0, 0, 1)",561.0
"(0, 1, 0, 1, 0, 0, 1, 1, 0)",561.0
"(0, 1, 0, 1, 0, 0, 0, 1, 1)",561.0
